"FilePath","Reason","NpmPackageName","NpmPackageCurrentVersion","NpmPackageKnownMaliciousVersions","VersionMatch"
"E:\dev\12C\TestProjects\Spfx2\node_modules\get-them-args\package.json","Reference to known compromised npm package found","get-them-args","1.3.2","1.3.3","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\get-them-args\package.json","package.json located in folder matching known compromised npm package","get-them-args","1.3.2","1.3.3","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\kill-port\package.json","Reference to known compromised npm package found","get-them-args","1.6.1","1.3.3","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\kill-port\package.json","Reference to known compromised npm package found","kill-port","1.6.1","2.0.2, 2.0.3","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\kill-port\package.json","package.json located in folder matching known compromised npm package","kill-port","1.6.1","2.0.2, 2.0.3","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\kill-port\package.json","Reference to known compromised npm package found","shell-exec","1.6.1","1.1.3, 1.1.4","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\shell-exec\package.json","Reference to known compromised npm package found","shell-exec","1.0.2","1.1.3, 1.1.4","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\shell-exec\package.json","package.json located in folder matching known compromised npm package","shell-exec","1.0.2","1.1.3, 1.1.4","NO - Safe"
"E:\dev\12C\TestProjects\Spfx2\node_modules\spfx-fast-serve-helpers\package.json","Reference to known compromised npm package found","kill-port","1.18.13","2.0.2, 2.0.3","NO - Safe"
